Company Name,Ticker
Tottenham Acquisition I Limited,TOTA
Tottenham Acquisition I Limited,TOTAW
Tottenham Acquisition I Limited,TOTAR
Trebia Acquisition Corp.,TREB.U
Trebia Acquisition Corp.,TREB
Trebia Acquisition Corp.,TREB.WS
Trident Acquisitions Corp.,TDACU
Trident Acquisitions Corp.,TDAC
Trident Acquisitions Corp.,TDACW
Trine Acquisition Corp.,TRNE.U
Trine Acquisition Corp.,TRNE
Trine Acquisition Corp.,TRNE.WS
Tuscan Holdings Corp.,THCBU
Tuscan Holdings Corp.,THCB
Tuscan Holdings Corp.,THCBW
Tuscan Holdings Corp. II,THCAU
Tuscan Holdings Corp. II,THCA
Tuscan Holdings Corp. II,THCAW
Union Acquisition Corp. II,LATNU
Union Acquisition Corp. II,LATN
Union Acquisition Corp. II,LATNW
Yunhong International,ZGYHU
Yunhong International,ZGYH
Yunhong International,ZGYHW
8i Enterprises Acquisition Corp.,JFKKU
8i Enterprises Acquisition Corp.,JFK
8i Enterprises Acquisition Corp.,JFKKW
8i Enterprises Acquisition Corp.,JFKKR
B. Riley Principal Merger Corp. II,BMRG.U
B. Riley Principal Merger Corp. II,BMRG
B. Riley Principal Merger Corp. II,BMRG.WS
Collier Creek Holdings,CCH.U
Collier Creek Holdings,CCH
Collier Creek Holdings,CCH.WS
Crescent Acquisition Corp.,CRSAU
Crescent Acquisition Corp.,CRSA
Crescent Acquisition Corp.,CRSAW
Far Point Acquisition Corporation,FPAC.U
Far Point Acquisition Corporation,FPAC
Far Point Acquisition Corporation,FPAC.WS
Forum Merger II Corporation,FMCIU
Forum Merger II Corporation,FMCI
Forum Merger II Corporation,FMCIW
Graf Industrial Corp.,GRAF.U
Graf Industrial Corp.,GRAF
Graf Industrial Corp.,GRAF.WS
HL Acquisitions Corp.,HCCHU
HL Acquisitions Corp.,HCCH
HL Acquisitions Corp.,HCCHW
HL Acquisitions Corp.,HCCHR
Insurance Acquisition Corp.,INSUU
Insurance Acquisition Corp.,INSU
Insurance Acquisition Corp.,INSUW
KBL Merger Corp. IV,KBLMU
KBL Merger Corp. IV,KBLM
KBL Merger Corp. IV,KBLMW
KBL Merger Corp. IV,KBLMR
"Landcadia Holdings II, Inc.",LCAHU
"Landcadia Holdings II, Inc.",LCA
"Landcadia Holdings II, Inc.",LCAHW
Legacy Acquisition Corp.,LGC.U
Legacy Acquisition Corp.,LGC
Legacy Acquisition Corp.,LGC.WS
Leisure Acquisition Corp.,LACQU
Leisure Acquisition Corp.,LACQ
Leisure Acquisition Corp.,LACQW
Leo Holdings Corp.,LHC.U
Leo Holdings Corp.,LHC
Leo Holdings Corp.,LHC.WS
Monocle Acquisition Corporation,MNCLU
Monocle Acquisition Corporation,MNCL
Monocle Acquisition Corporation,MNCLW
Opes Acquisition Corp.,OPESU
Opes Acquisition Corp.,OPES
Opes Acquisition Corp.,OPESW
Orisun Acquisition Corp.,ORSNU
Orisun Acquisition Corp.,ORSN
Orisun Acquisition Corp.,ORSNW
Orisun Acquisition Corp.,ORSNR
Pure Acquisition Corp.,PACQU
Pure Acquisition Corp.,PACQ
Pure Acquisition Corp.,PACQW
Tortoise Acquisition Corp.,SHLL.U
Tortoise Acquisition Corp.,SHLL
Tortoise Acquisition Corp.,SHLL.WS
Allegro Merger Corp.,ALGRU
Allegro Merger Corp.,ALGR
Allegro Merger Corp.,ALGRW
Allegro Merger Corp.,ALGRR
Fellazo Inc.,FLLCU
Fellazo Inc.,FLLC
Fellazo Inc.,FLLCW
Fellazo Inc.,FLLCR
Regalwood Global Energy Ltd.,RWGE.U
Regalwood Global Energy Ltd.,RWGE
Regalwood Global Energy Ltd.,RWGE.WS
Saban Capital Acquisition Corp.,SCACU
Saban Capital Acquisition Corp.,SCAC
Saban Capital Acquisition Corp.,SCACW
"Sentinel Energy Services, Inc. ",STNLU
"Sentinel Energy Services, Inc. ",STNL
"Sentinel Energy Services, Inc. ",STNLW
Vantage Energy Acquisition Corp.,1
Vantage Energy Acquisition Corp.,2
Vantage Energy Acquisition Corp.,3
Avista Healthcare Public Acquisition Corp.,AHPAU
Avista Healthcare Public Acquisition Corp.,AHPA
Avista Healthcare Public Acquisition Corp.,AHPAW
Barington/Hilco Acquisition Corp.,BHACU
Barington/Hilco Acquisition Corp.,BHAC
Barington/Hilco Acquisition Corp.,BHACW
Barington/Hilco Acquisition Corp.,BHACR
Electrum Special Acquisition Corporation,0
Electrum Special Acquisition Corporation,
Origo Acquisition Corporation,OACQU
Origo Acquisition Corporation,OACQ
Origo Acquisition Corporation,OACQW
Origo Acquisition Corporation,OACQR
